% Model:              buoyancy_free.mph
% Version:            COMSOL 6.2.0.339
% Date:               Feb 10 2025, 17:40
% Dimension:          2
% Nodes:              4256
% Expressions:        7
% Description:        Temperature
% Length unit:        m
% x                       y                        T (K) @ Ra=1             T (K) @ Ra=10            T (K) @ Ra=100           T (K) @ Ra=1000          T (K) @ Ra=10000         T (K) @ Ra=1E5           T (K) @ Ra=1E6
0                         0.6100000000000001       0                        0                        0                        0                        0                        0                        0
0.009197894203979633      0.6055587653505835       0.009199504219681534     0.009214127186717372     0.009373284662176783     0.011839174951407115     0.026717197575181376     0.05077785300957066      0.09234267058311123
0                         0.6200000000000002       0                        0                        0                        0                        0                        0                        0
0.009189364814355705      0.6155226841014568       0.009191115492645431     0.009207003868735313     0.009378744975571328     0.011952799345597532     0.02708090563405288      0.051480909793241825     0.09378596884523639
0                         0.6300000000000001       0                        0                        0                        0                        0                        0                        0
0.009157153650589072      0.6255507534279834       0.0091590371796855       0.009176120284281013     0.00935970221069546      0.012032403650907816     0.027364917049564227     0.05206163818345166      0.09509600245826177
0.9919240671960347        0.025682647095997158     0.9919204220577065       0.9918875284021081       0.9915503873539339       0.9878624147756688       0.9725990300511792       0.939878582550251        0.860286769188274
1                         0.029999999999999805     1                        1                        1                        1                        1                        1                        1
0.9922808230388208        0.03504293934933335      0.9922773396923944       0.9922459055399367       0.9919236727368131       0.9883937607808392       0.9736974735639036       0.9418967638385726       0.8652395014288844
1                         0.0399999999999997       1                        1                        1                        1                        1                        1                        1
1                         0.050000000000000044     1                        1                        1                        1                        1                        1                        1
0.9912424509924939        0.0450294651637132       0.9912385008370449       0.9912028534239893       0.9908373580288675       0.9868265125394465       0.9700183119895147       0.9334620137123508       0.8474083092814663
0.9821107468709616        0.010771534690595608     0.9821026716732569       0.9820298025193813       0.9812830639357413       0.9731274774486922       0.9396309910632636       0.8693914127780025       0.7060982238273937
0.97561362211196          0                        0.9756026143928905       0.9755032832871322       0.9744854325075499       0.9633751993984466       0.9178912928040625       0.8239984477381          0.621217463297156
1                         0.05999999999999994      1                        1                        1                        1                        1                        1                        1
