% Model:              buoyancy_free.mph
% Version:            COMSOL 6.2.0.339
% Date:               Feb 10 2025, 17:41
% Dimension:          2
% Nodes:              4256
% Expressions:        14
% Description:        Velocity field, x-component, Velocity field, y-component
% Length unit:        m
% x                       y                        u (m/s) @ Ra=1           v (m/s) @ Ra=1           u (m/s) @ Ra=10          v (m/s) @ Ra=10          u (m/s) @ Ra=100         v (m/s) @ Ra=100         u (m/s) @ Ra=1000        v (m/s) @ Ra=1000        u (m/s) @ Ra=10000       v (m/s) @ Ra=10000       u (m/s) @ Ra=1E5         v (m/s) @ Ra=1E5         u (m/s) @ Ra=1E6         v (m/s) @ Ra=1E6
0.20956497406069796       0.016197621501577237     5.522715623112853E-4     -2.8357149065202574E-5   0.005515669776628949     -2.835656807321199E-4    0.05443210126843911      -0.002832328501917727    0.4693557931181283       -0.02614257604978924     3.114065856764825        -0.1437992708885392      19.56142787153181        -0.28803728204993545     83.15232265490805        4.307343652696061
0.2196031667651065        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.2296063234172818        0.01620089237485068      6.193699290454958E-4     -2.717677981054826E-5    0.006186700632875558     -2.7182448270663366E-4   0.06114033248562151      -0.002720972082418392    0.531518675920994        -0.025377227214695774    3.4435793212417605       -0.12968178599888114     20.07890683528717        -0.09495284213619977     73.6655897261561         4.574506688227029
0.2396315119961705        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0                         0.3600000000000001       0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.008819337473970026      0.35541976656533053      4.663405347183626E-6     -5.357452110745776E-4    4.673897404463046E-5     -0.005352193968477588    4.77634826182047E-4      -0.05298640997089644     0.0054575548649253005    -0.47632897944880975     0.04724789081066751      -3.3253036537904763      0.24201976034678555      -21.59136115285004       0.8356573954265499       -119.1853225249893
0                         0.3700000000000001       0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.0089073216897713        0.36557449512604695      4.48092391202618E-6      -5.514816242445079E-4    4.492618635073888E-5     -0.00550975709878188     4.6071675460032413E-4    -0.05458128990229375     0.005396140813977313     -0.49340629894676535     0.04786375970608637      -3.465829522775959       0.23936003062917863      -22.33917759612943       0.7978965794002039       -122.13014477107241
0                         0.38000000000000006      0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.009011546916696403      0.37564873718385966      4.05097018325759E-6      -5.674402018435856E-4    4.0644660860363224E-5    -0.005669571271055226    4.196993268675906E-4     -0.056201592533015286    0.005136345726344978     -0.5109631707172136      0.04655675306998395      -3.611033839499869       0.21358316515695794      -23.075590149552223      0.6799311915114167       -124.78319537530366
0                         0.39000000000000007      0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.009100722082764084      0.38567558267332874      4.03178115221934E-6      -5.820639233399742E-4    4.045951856532787E-5     -0.005816063464274498    4.1854155290525476E-4    -0.05769138891338261     0.005196702354553534     -0.5274866752101216      0.04832706924526511      -3.7513410499236444      0.23229025591394925      -23.788114347510568      0.9320346523845074       -127.78599058264054
0.009169336399732131      0.3956370665585322       3.6494461653738065E-6    -5.947529929133692E-4    3.6651536999264126E-5    -0.00594325144238058     3.8200253692864146E-4    -0.058992408467694046    0.0049650273452368845    -0.5425116669671092      0.04736209557795031      -3.8826635365364233      0.21475716537530024      -24.420440443718068      0.8053003529378017       -130.20217548380631
0                         0.4200000000000001       0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.00918649744902545       0.41563442104638093      2.855423465972133E-6     -6.103625962162991E-4    2.8729444333512772E-5    -0.006100049789641854    3.046220723862836E-4     -0.06062971267880646     0.004367797617306179     -0.5640611185757328      0.0442540952009994       -4.089711460658393       0.18994461800912596      -25.33879544637695       0.8068096534860562       -133.73447953445125
0                         0.43000000000000005      0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.00919104752962269       0.42564926481623294      2.715663074806258E-6     -6.16861258125245E-4     2.7335114586181972E-5    -0.0061654152540215066   2.910294726739835E-4     -0.06132085392624692     0.0042790801998073445    -0.5738441963983513      0.04483171323668497      -4.188785415818085       0.20720273933312247      -25.781471623613935      0.9454337312804119       -135.7508787421339
0.24964102870991015       0.016202202803341947     6.833006793342703E-4     -2.5747823176477814E-5   0.0068261936413944       -2.575875682436939E-4    0.06754664214958729      -0.002583745723875868    0.5914643832180712       -0.024319627873908265    3.7375075056622293       -0.11382911042412124     20.172144089851827       0.0727680254713195       63.71216097913102        4.407188645477191
